time,last_low,last_high,last_open,last_close,last_volume,current_open,target_close,period_return,target_trade,profit
1577556000,127.84,129.31,127.88,129.03,3956.42232225,129.25,128.81,-0.003404255319148919,-1,0.4380636255319127
1577559600,128.47,129.6,129.25,128.81,5423.21575765,128.81,128.76,-0.0003881686204488112,0,-0.0
1577563200,128.58,129.05,128.81,128.76,701.41138721,128.77,128.44,-0.0025627087054439115,-1,0.32882515182108873
1577566800,128.13,129.09,128.77,128.44,1721.64592319,128.45,128.22,-0.0017905799922147902,-1,0.2293585784351786
1577570400,128.0,128.57,128.45,128.22,1141.2578591,128.22,128.02,-0.0015598190609888366,-1,0.1994883481516031
1577574000,127.72,128.22,128.22,128.02,1608.98518883,128.02,127.91,-0.0008592407436339137,0,-0.0
1577577600,127.82,128.18,128.02,127.91,844.03960885,127.95,127.69,-0.002032043767096562,-1,0.2592121969519394
1577581200,127.54,127.95,127.95,127.69,1288.67403225,127.77,127.48,-0.002269703373248744,-1,0.2890524442357282
1577584800,127.22,127.77,127.77,127.48,2211.09698107,127.49,127.96,0.0036865636520511326,1,0.47126095223154646
1577588400,127.47,127.96,127.49,127.96,711.97648769,127.95,127.91,-0.0003126221180148984,0,-0.0
